CUI1,STR1,CUI2,STR2
c0001627,hyperplasia adrenal congenital,c0020268,hydrocortisone
c0001627,adrenal hyperplasia congenital,c0020268,hydrocortisone
c0001723,affective disorder psychotic,c0002600,amitriptyline
c0001723,affective disorders psychotic,c0002600,amitriptyline
c0001723,disorder psychotic affective,c0002600,amitriptyline
c0001723,disorders psychotic affective,c0002600,amitriptyline
c0001723,psychotic affective disorder,c0002600,amitriptyline
c0001723,affective disorder psychotic,c0002600,amitriptyline
c0001723,psychotic affective disorders,c0002600,amitriptyline
c0001733,afibrinogenemias,c0016006,fibrinogen
c0001733,afibrinogenemia,c0016006,fibrinogen
c0001733,afibrinogenaemia,c0016006,fibrinogen
c0001807,behavior aggressive,c0033459,periciazine
c0001807,aggressive behavior,c0033459,periciazine
c0001807,aggressive behaviour,c0033459,periciazine
c0001807,aggressive behaviours,c0033459,periciazine
c0001807,aggressive behaviors,c0033459,periciazine
c0001815,primary myelofibrosis,c0006463,busulfan
c0001815,myelofibrosis primary,c0006463,busulfan
c0001815,primary myelofibroses,c0006463,busulfan
c0001815,myelofibroses primary,c0006463,busulfan
c0001815,myelofibrosis primary,c0006463,busulfan
c0001818,agoraphobia,c0002333,alprazolam
c0001818,agoraphobia nos,c0002333,alprazolam
c0001818,agoraphobias,c0002333,alprazolam
c0001883,airway obstruction,c0001636,epinephrine hydrochloride
c0001883,airway obstructions,c0001636,epinephrine hydrochloride
c0001883,obstruction airway,c0001636,epinephrine hydrochloride
c0001883,obstructions airway,c0001636,epinephrine hydrochloride
c0001883,airway obstruction nos,c0001636,epinephrine hydrochloride
c0001883,airways obstruction,c0001636,epinephrine hydrochloride
c0001883,obstruction airway,c0001636,epinephrine hydrochloride
c0001883,airway obstruction nos,c0001636,epinephrine hydrochloride
c0001883,obstruction airway,c0001636,epinephrine hydrochloride
c0001883,airway obstruction,c0001636,epinephrine hydrochloride
c0001916,albinism,c0041086,trioxsalen
c0001916,albinism nos,c0041086,trioxsalen
c0001957,delirium alcohol withdrawal,c0008174,clorazepate
c0001957,alcohol withdrawal delirium,c0008174,clorazepate
c0001957,alcohol withdrawal with delirium,c0008174,clorazepate
c0001957,alcohol delirium withdrawal,c0008174,clorazepate
c0001957,alcohol withdrawal with delirium,c0008174,clorazepate
c0001957,withdrawal alcohol with delirium,c0008174,clorazepate
c0001973,intoxication chronic alcoholic,c0008845,citalopram
c0001973,alcoholic intoxication chronic,c0008845,citalopram
c0001973,chronic alcoholic intoxication,c0008845,citalopram
c0002063,alkaloses,c0003765,arginine
c0002063,alkalosis,c0003765,arginine
c0002063,alkalosis nos,c0003765,arginine
c0002063,alkalosis nos,c0003765,arginine
c0002170,alopecias,c0026196,minoxidil
c0002170,alopecia,c0026196,minoxidil
c0002170,alopecia nos,c0026196,minoxidil
c0002170,alopecia nos,c0026196,minoxidil
c0002351,altitude sickness,c0000981,acetazolamide
c0002351,sickness altitude,c0000981,acetazolamide
c0002395,alzheimer disease,c0016967,galantamine
c0002395,alzheimers disease,c0016967,galantamine
c0002395,alzheimers disease nos,c0016967,galantamine
c0002395,alzheimers disease,c0016967,galantamine
c0002395,diseasealzheimers,c0016967,galantamine
c0002395,alzheimer diseases,c0016967,galantamine
c0002395,alzheimers diseases,c0016967,galantamine
c0002395,alzheimers diseases,c0016967,galantamine
c0002438,amebiases,c0008269,chloroquine
c0002438,amoebiases,c0008269,chloroquine
c0002438,amebiasis,c0008269,chloroquine
c0002438,amoebiasis nos,c0008269,chloroquine
c0002438,amebiasis nos,c0008269,chloroquine
c0002438,amoebiasis,c0008269,chloroquine
c0002453,amenorrhea,c0006230,bromocriptine
c0002453,amenorrhoea,c0006230,bromocriptine
c0002453,amenorrhea nos,c0006230,bromocriptine
c0002453,amenorrhoea nos,c0006230,bromocriptine
c0002453,amenorrhea nos,c0006230,bromocriptine
c0002453,amenorrhoea nos,c0006230,bromocriptine
c0002726,amyloidoses,c0001047,acetylcysteine
c0002726,amyloidosis,c0001047,acetylcysteine
c0002726,amyloidosis nos,c0001047,acetylcysteine
c0002726,amyloidosis nos,c0001047,acetylcysteine
c0002736,amyotrophic lateral sclerosis,c0070694,edaravone
c0002736,sclerosis amyotrophic lateral,c0070694,edaravone
c0002736,amyotrophic laterals sclerosis,c0070694,edaravone
c0002792,anaphylaxis,c0001636,epinephrine hydrochloride
c0002831,ancylostomiases,c0001911,albendazole
c0002831,ancylostomiasis,c0001911,albendazole
c0002871,anemia,c0015099,ethylestrenol
c0002871,anemias,c0015099,ethylestrenol
c0002871,anaemia,c0015099,ethylestrenol
c0002871,anaemia nos,c0015099,ethylestrenol
c0002871,anaemias,c0015099,ethylestrenol
c0002871,anaemia nos,c0015099,ethylestrenol
c0002871,anemia nos,c0015099,ethylestrenol
c0002871,anemia nos,c0015099,ethylestrenol
c0002874,anemia aplastic,c1831905,eltrombopag
c0002874,aplastic anemias,c1831905,eltrombopag
c0002874,anaemia aplastic,c1831905,eltrombopag
c0002874,anemia aplastic,c1831905,eltrombopag
c0002874,aplastic anemia nos,c1831905,eltrombopag
c0002874,aplastic anaemia nos,c1831905,eltrombopag
c0002874,aplastic anemia,c1831905,eltrombopag
c0002874,anaemiaaplastic,c1831905,eltrombopag
c0002874,aplastic anemia nos,c1831905,eltrombopag
c0002874,anaemia  aplastic,c1831905,eltrombopag
c0002874,anemia  aplastic,c1831905,eltrombopag
c0002874,aplastic anaemia nos,c1831905,eltrombopag
c0002874,aplastic anaemia,c1831905,eltrombopag
c0002874,aplastic anaemias,c1831905,eltrombopag
c0002874,anaemia aplastic,c1831905,eltrombopag
c0002874,anemia aplastic,c1831905,eltrombopag
c0002874,aplastic anemia,c1831905,eltrombopag
c0002874,anemiaaplastic,c1831905,eltrombopag
c0002878,anemia hemolytic,c0032950,prednisolone
c0002878,anaemia haemolytic,c0032950,prednisolone
c0002878,anemia hemolytic,c0032950,prednisolone
c0002878,hemolytic anemia,c0032950,prednisolone
c0002878,hemolytic anemia nos,c0032950,prednisolone
c0002878,anemia hemolytic nos,c0032950,prednisolone
c0002878,hemolytic anemia nos,c0032950,prednisolone
c0002878,haemolytic anaemia nos,c0032950,prednisolone
c0002878,haemolytic anaemias,c0032950,prednisolone
c0002878,hemolytic anemias,c0032950,prednisolone
c0002878,anaemiahaemolytic,c0032950,prednisolone
c0002878,haemolytic anaemias nos,c0032950,prednisolone
c0002878,hemolytic anemias nos,c0032950,prednisolone
c0002878,hemolytic anemia nos,c0032950,prednisolone
c0002878,haemolytic anaemia nos,c0032950,prednisolone
c0002878,haemolytic anaemia,c0032950,prednisolone
c0002878,anaemia haemolytic,c0032950,prednisolone
c0002878,hemolytic anaemia,c0032950,prednisolone
c0002878,hemolytic anemia,c0032950,prednisolone
c0002878,anemia hemolytic,c0032950,prednisolone
c0002878,anemiahemolytic,c0032950,prednisolone
c0002880,autoimmune hemolytic anemia,c0010583,cyclophosphamide
c0002880,anemia hemolytic autoimmune,c0010583,cyclophosphamide
c0002880,autoimmune hemolytic anemia nos,c0010583,cyclophosphamide
c0002880,autoimmune haemolytic anaemia nos,c0010583,cyclophosphamide
c0002880,anemia hemolytic autoimmune nos,c0010583,cyclophosphamide
c0002880,anemia autoimmune hemolytic,c0010583,cyclophosphamide
c0002880,anemia hemolytic autoimmune,c0010583,cyclophosphamide
c0002880,autoimmune haemolytic anaemia,c0010583,cyclophosphamide
c0002880,autoimmune haemolytic anaemias,c0010583,cyclophosphamide
c0002880,hemolytic autoimmune anemia,c0010583,cyclophosphamide
c0002880,anemia autoimmune hemolytic,c0010583,cyclophosphamide
c0002880,anaemia haemolytic autoimmune,c0010583,cyclophosphamide
c0002880,autoimmune hemolytic anemias,c0010583,cyclophosphamide
c0002880,hemolytic anemia autoimmune,c0010583,cyclophosphamide
c0002880,autoimmune haemolytic anaemia nos,c0010583,cyclophosphamide
c0002880,autoimmune hemolytic anemia nos,c0010583,cyclophosphamide
c0002880,haemolytic anaemia autoimmune,c0010583,cyclophosphamide
c0002880,anaemia autoimmune haemolytic,c0010583,cyclophosphamide
c0002880,autoimmune hemolytic anaemia,c0010583,cyclophosphamide
c0002880,hemolytic anemia autoimmune,c0010583,cyclophosphamide
c0002880,anemia hemolytic autoimmune,c0010583,cyclophosphamide
c0002884,anemia hypochromic,c0060228,ferric ammonium citrate
c0002884,anemias hypochromic,c0060228,ferric ammonium citrate
c0002884,hypochromic anemias,c0060228,ferric ammonium citrate
c0002884,hypochromic anemia,c0060228,ferric ammonium citrate
c0002884,anaemia hypochromic,c0060228,ferric ammonium citrate
c0002884,anemia hypochromic,c0060228,ferric ammonium citrate
c0002884,hypochromic anaemia nos,c0060228,ferric ammonium citrate
c0002884,hypochromic anemia nos,c0060228,ferric ammonium citrate
c0002884,hypochromic anaemia,c0060228,ferric ammonium citrate
c0002884,anemia hypochromic,c0060228,ferric ammonium citrate
c0002888,anemia megaloblastic,c0016410,folic acid
c0002888,anemias megaloblastic,c0016410,folic acid
c0002888,megaloblastic anemias,c0016410,folic acid
c0002888,anaemia megaloblastic,c0016410,folic acid
c0002888,anemia megaloblastic,c0016410,folic acid
c0002888,megaloblastic anemia,c0016410,folic acid
c0002888,megaloblastic anaemia nos,c0016410,folic acid
c0002888,anaemia  megaloblastic,c0016410,folic acid
c0002888,anemia  megaloblastic,c0016410,folic acid
c0002888,megaloblastic anaemia nos,c0016410,folic acid
c0002888,megaloblastic anemia nos,c0016410,folic acid
c0002888,megaloblastic anaemia,c0016410,folic acid
c0002888,megaloblastic anemia,c0016410,folic acid
c0002888,anemia megaloblastic,c0016410,folic acid
c0002888,megaloblastic anemia nos,c0016410,folic acid
c0002888,anaemiamegaloblastic,c0016410,folic acid
c0002888,anemiamegaloblastic,c0016410,folic acid
c0002892,anaemia pernicious,c0020316,hydroxocobalamin
c0002892,anemia pernicious,c0020316,hydroxocobalamin
c0002892,anemia pernicious,c0020316,hydroxocobalamin
c0002892,pernicious anemia nos,c0020316,hydroxocobalamin
c0002892,pernicious anaemia nos,c0020316,hydroxocobalamin
c0002892,pernicious anemia,c0020316,hydroxocobalamin
c0002892,anaemiapernicious,c0020316,hydroxocobalamin
c0002892,pernicious anaemia nos,c0020316,hydroxocobalamin
c0002892,pernicious anemia nos,c0020316,hydroxocobalamin
c0002892,pernicious anaemia,c0020316,hydroxocobalamin
c0002892,pernicious anemia,c0020316,hydroxocobalamin
c0002892,anemia pernicious,c0020316,hydroxocobalamin
c0002892,anemiapernicious,c0020316,hydroxocobalamin
c0002893,anemia refractory,c0004475,azacitidine
c0002893,anemias refractory,c0004475,azacitidine
c0002893,refractory anemias,c0004475,azacitidine
c0002893,anemia refractory,c0004475,azacitidine
c0002893,refractory anemia,c0004475,azacitidine
c0002893,refractory anemia nos,c0004475,azacitidine
c0002893,refractory anaemia nos,c0004475,azacitidine
c0002893,refractory anaemia nos,c0004475,azacitidine
c0002893,refractory anemia nos,c0004475,azacitidine
c0002893,refractory anaemia,c0004475,azacitidine
c0002893,anaemia refractory,c0004475,azacitidine
c0002893,refractory anemia,c0004475,azacitidine
c0002893,anemia refractory,c0004475,azacitidine
c0002895,anemias sickle cell,c0718066,sodium phenylbutyrate
c0002895,sickle cell anemias,c0718066,sodium phenylbutyrate
c0002895,anemia sickle cell,c0718066,sodium phenylbutyrate
c0002895,sickle cell anemia,c0718066,sodium phenylbutyrate
c0002895,sicklecell anemia nos,c0718066,sodium phenylbutyrate
c0002895,anaemiasickle cell,c0718066,sodium phenylbutyrate
c0002895,anemia sickle cell,c0718066,sodium phenylbutyrate
c0002895,sicklecell anemia,c0718066,sodium phenylbutyrate
c0002895,anaemia cell sickle,c0718066,sodium phenylbutyrate
c0002895,anemia cells sickles,c0718066,sodium phenylbutyrate
c0002895,anemia cells sickle,c0718066,sodium phenylbutyrate
c0002895,anemia sicklecell,c0718066,sodium phenylbutyrate
c0002895,sicklecell anaemia,c0718066,sodium phenylbutyrate
c0002895,sickle cell anemia nos,c0718066,sodium phenylbutyrate
c0002895,sickle cell anaemia nos,c0718066,sodium phenylbutyrate
c0002895,anaemia sickle cell,c0718066,sodium phenylbutyrate
c0002895,sickle cell anaemia,c0718066,sodium phenylbutyrate
c0002895,sicklecell anemia,c0718066,sodium phenylbutyrate
c0002895,anemia sicklecell,c0718066,sodium phenylbutyrate
c0002895,anemiasickle cell,c0718066,sodium phenylbutyrate
c0002896,anemia sideroblastic,c0004475,azacitidine
c0002896,anemias sideroblastic,c0004475,azacitidine
c0002896,sideroblastic anemias,c0004475,azacitidine
c0002896,anaemia sideroblastic,c0004475,azacitidine
c0002896,anemia sideroblastic,c0004475,azacitidine
c0002896,sideroblastic anemia nos,c0004475,azacitidine
c0002896,sideroblastic anaemia nos,c0004475,azacitidine
c0002896,sideroblastic anemia,c0004475,azacitidine
c0002896,sideroblastic anaemia,c0004475,azacitidine
c0002896,sideroblastic anaemia nos,c0004475,azacitidine
c0002896,sideroblastic anemia nos,c0004475,azacitidine
c0002896,sideroblastic anemia,c0004475,azacitidine
c0002896,anemia sideroblastic,c0004475,azacitidine
c0002962,angina pectoris,c0000946,acebutolol
c0002962,angina pectoris nos,c0000946,acebutolol
c0002962,pectoris angina,c0000946,acebutolol
c0002962,angina pectoris nos,c0000946,acebutolol
c0002963,angina pectoris variant,c0012373,diltiazem
c0002963,variant angina pectoris,c0012373,diltiazem
c0002963,angina pectoris variant,c0012373,diltiazem
c0002965,anginas unstable,c0019134,heparin
c0002965,unstable anginas,c0019134,heparin
c0002965,angina unstable,c0019134,heparin
c0002965,unstable angina,c0019134,heparin
c0002965,angina unstable,c0019134,heparin
c0002965,anginaunstable,c0019134,heparin
c0002965,unstable angina,c0019134,heparin
c0002986,fabrys disease,c1137427,agalsidase beta
c0002986,fabry disease,c1137427,agalsidase beta
c0002986,disease fabrys,c1137427,agalsidase beta
c0002986,fabrys disease,c1137427,agalsidase beta
c0002986,disease fabry,c1137427,agalsidase beta
c0002994,angioedemas,c0008929,clemastine
c0002994,angioedema,c0008929,clemastine
c0002994,angioedema nos,c0008929,clemastine
c0002994,angiooedema,c0008929,clemastine
c0003123,anorexias,c0025175,megestrol
c0003123,anorexia,c0025175,megestrol
c0003123,anorexia nos,c0025175,megestrol
c0003175,anthrax disease,c0008809,ciprofloxacin
c0003257,antibody deficiency syndromes,c0020852,immunoglobulin g
c0003257,deficiency syndrome antibody,c0020852,immunoglobulin g
c0003257,syndromes antibody deficiency,c0020852,immunoglobulin g
c0003257,syndrome antibody deficiency,c0020852,immunoglobulin g
c0003257,antibody deficiency syndrome,c0020852,immunoglobulin g
c0003257,deficiency syndromes antibody,c0020852,immunoglobulin g
c0003257,syndrome antibody deficiency,c0020852,immunoglobulin g
c0003257,antibody deficiency syndrome,c0020852,immunoglobulin g
c0003460,anurias,c0024730,mannitol
c0003460,anuria,c0024730,mannitol
c0003467,anxiety,c0006863,cannabidiol
c0003467,anxieties,c0006863,cannabidiol
c0003469,disorder anxiety,c0002640,amobarbital
c0003469,disorders anxiety,c0002640,amobarbital
c0003469,anxiety disorders,c0002640,amobarbital
c0003469,anxiety disorder nos,c0002640,amobarbital
c0003469,anxiety disorder,c0002640,amobarbital
c0003469,anxiety disorder nos,c0002640,amobarbital
c0003469,disorderanxiety,c0002640,amobarbital
c0003486,aneurysms aortic,c0077158,trimethaphan camsylate
c0003486,aortic aneurysm,c0077158,trimethaphan camsylate
c0003486,aortic aneurysms,c0077158,trimethaphan camsylate
c0003486,aortic aneurysm nos,c0077158,trimethaphan camsylate
c0003486,aneurysmaortic,c0077158,trimethaphan camsylate
c0003486,aortic aneurysm nos,c0077158,trimethaphan camsylate
c0003486,aneurysm aortic,c0077158,trimethaphan camsylate
c0003486,aneurysm aortic,c0077158,trimethaphan camsylate
c0003490,aortic arch syndromes,c0002335,alprostadil
c0003490,syndrome aortic arch,c0002335,alprostadil
c0003490,syndromes aortic arch,c0002335,alprostadil
c0003490,aortic arch syndrome,c0002335,alprostadil
c0003490,syndrome aortic arch,c0002335,alprostadil
c0003490,aortic arch syndrome,c0002335,alprostadil
c0003492,aortic coarctation,c0002335,alprostadil
c0003492,aortic coarctations,c0002335,alprostadil
c0003492,coarctation aortic,c0002335,alprostadil
c0003492,coarctations aortic,c0002335,alprostadil
c0003492,coarctation aortic,c0002335,alprostadil
c0003578,apneas,c0002575,aminophylline
c0003578,apnea,c0002575,aminophylline
c0003578,apnoea,c0002575,aminophylline
c0003578,apnea nos,c0002575,aminophylline
c0003578,apnoea nos,c0002575,aminophylline
c0003578,apnea nos,c0002575,aminophylline
c0003578,apnoeas,c0002575,aminophylline
c0003615,appendicitis nos,c0066005,meropenem
c0003615,appendicitis,c0066005,meropenem
c0003615,appendicitis nos,c0066005,meropenem
c0003811,cardiac arrhythmia nos,c0002334,alprenolol
c0003811,arrhythmia cardiac nos,c0002334,alprenolol
c0003811,cardiac arrhythmia nos,c0002334,alprenolol
c0003811,cardiac arrhythmia nos,c0002334,alprenolol
c0003811,cardiac arrhythmia,c0002334,alprenolol
c0003811,arrhythmia cardiac,c0002334,alprenolol
c0003811,arrhythmias cardiac,c0002334,alprenolol
c0003811,arrhythmia cardiac nos,c0002334,alprenolol
c0003811,cardiac arrhythmias,c0002334,alprenolol
c0003838,arterial occlusive disease,c0030350,papaverine
c0003838,disease arterial occlusive,c0030350,papaverine
c0003838,diseases arterial occlusive,c0030350,papaverine
c0003838,occlusive disease arterial,c0030350,papaverine
c0003838,occlusive diseases arterial,c0030350,papaverine
c0003838,arterial disease occlusive,c0030350,papaverine
c0003838,arterial occlusive diseases,c0030350,papaverine
c0003838,occlusive arterial disease,c0030350,papaverine
c0003850,arterioscleroses,c0022267,isoxsuprine
c0003850,arteriosclerosis,c0022267,isoxsuprine
c0003850,arteriosclerosis nos,c0022267,isoxsuprine
c0003850,arteriosclerosis nos,c0022267,isoxsuprine
c0003851,arteriosclerosis obliterans,c0040373,tolazoline
c0003851,obliterans arteriosclerosis,c0040373,tolazoline
c0003864,arthritides,c0066282,methyl salicylate
c0003864,arthritis,c0066282,methyl salicylate
c0003864,arthritis nos,c0066282,methyl salicylate
c0003864,arthritide,c0066282,methyl salicylate
c0003864,arthritis nos,c0066282,methyl salicylate
c0003868,arthritides gouty,c0021246,indomethacin
c0003868,arthritis gouty,c0021246,indomethacin
c0003868,gouty arthritides,c0021246,indomethacin
c0003868,arthritis gouty,c0021246,indomethacin
c0003868,gouty arthritis,c0021246,indomethacin
c0003868,gouty arthritis nos,c0021246,indomethacin
c0003868,gouty arthritis nos,c0021246,indomethacin
c0003869,arthritis infectious,c0008777,cilastatin
c0003869,infectious arthritis,c0008777,cilastatin
c0003869,arthritis infectious,c0008777,cilastatin
c0003869,infectious arthritis,c0008777,cilastatin
c0003872,arthritis psoriatic,c0004320,auranofin
c0003872,psoriatic arthritis,c0004320,auranofin
c0003872,arthritis psoriatic,c0004320,auranofin
c0003872,arthritispsoriatic,c0004320,auranofin
c0003872,arthritis psoriatics,c0004320,auranofin
c0003873,arthritis rheumatoid,c0004057,aspirin
c0003873,arthritis rheumatoid,c0004057,aspirin
c0003873,rheumatoid arthritis,c0004057,aspirin
c0003873,rheumatoid arthritis nos,c0004057,aspirin
c0003873,rheumatoid arthritis,c0004057,aspirin
c0003873,arthritis rheumatoid,c0004057,aspirin
c0003950,ascariases,c0022322,ivermectin
c0003950,ascariasis,c0022322,ivermectin
c0003950,ascariosis,c0022322,ivermectin
c0003962,ascites,c0002502,amiloride
c0003962,ascites nos,c0002502,amiloride
c0003962,ascites nos,c0002502,amiloride
c0004030,aspergilloses,c0002679,amphotericin b
c0004030,aspergillosis,c0002679,amphotericin b
c0004030,aspergillosis nos,c0002679,amphotericin b
c0004030,aspergillosis nos,c0002679,amphotericin b
c0004096,asthmas,c0001927,albuterol
c0004096,asthma,c0001927,albuterol
c0004096,asthma nos,c0001927,albuterol
c0004096,asthma nos,c0001927,albuterol
c0004114,astrocytoma,c0008838,cisplatin
c0004114,astrocytoma nos,c0008838,cisplatin
c0004114,astrocytomas,c0008838,cisplatin
c0004114,astrocytoma nos,c0008838,cisplatin
c0004153,atherosclerosis,c3491162,alirocumab
c0004153,atherosclerosis nos,c3491162,alirocumab
c0004153,atheroscleroses,c3491162,alirocumab
c0004153,atherosclerosis  nos,c3491162,alirocumab
c0004238,atrial fibrillations,c0004147,atenolol
c0004238,fibrillations atrial,c0004147,atenolol
c0004238,fibrillation atrial,c0004147,atenolol
c0004238,atrial fibrillation,c0004147,atenolol
c0004238,fibrillation atrial,c0004147,atenolol
c0004238,fibrillationatrial,c0004147,atenolol
c0004238,fibrillation  atrial,c0004147,atenolol
c0004239,atrial flutters,c0004147,atenolol
c0004239,flutter atrial,c0004147,atenolol
c0004239,flutters atrial,c0004147,atenolol
c0004239,atrial flutter,c0004147,atenolol
c0004239,flutter atrial,c0004147,atenolol
c0004239,flutteratrial,c0004147,atenolol
c0004239,flutter  atrial,c0004147,atenolol
c0004352,autistic disorder,c0015827,fenfluramine
c0004352,autistic disorder nos,c0015827,fenfluramine
