CUI|STR
C0002335|alprostadil [erectile dysfunction]
C0002335|e series prostaglandin
C0002335|alprostadilum
C0002335|product containing alprostadil
C0002335|product containing alprostadil (medicinal product)
C0002335|prostaglandin e>1< preparation (product)
C0002335|prostaglandin e<sub>1</sub> preparation (product)
C0002335|prostaglandin e>1< preparation
C0002335|prostaglandin e<sub>1</sub> preparation
C0002335|prostaglandin e<sub>1</sub> preparation (substance)
C0002335|prostaglandin e>1< preparation (substance)
C0002335|prostaglandin e<sub>1</sub>
C0002335|prostaglandin e<sub>1</sub> (substance)
C0002335|prostaglandin e>1< (substance)
C0002335|prostaglandin pge<sub>1</sub>
C0002335|prostaglandin pge<sub>1</sub> (substance)
C0002335|prostaglandin pge>1< (substance)
C0002335|alprostadil - chemical
C0002335|alprostadil - chemical (substance)
C0002335|alprostadil [erectile dysfunction] (product)
C0002335|alprostadil [erectile dysfunction] (substance)
C0002335|alprostadil product
C0002335|alprostadil (product)
C0002335|alprostadil (substance)
C0002335|prostaglandin e1 preparation (product)
C0002335|prostaglandin e1 preparation
C0002335|prostaglandin e1 preparation (substance)
C0002335|prostaglandin e1 (substance)
C0002335|prostaglandin pge1 (substance)
C0002335|pge 01
C0002335|prostaglandin e 01
C0002335|alprostadil (medication)
C0002371|aluminum hydroxide
C0002371|hydrated alumina
C0002371|alumina hydrate
C0002371|aluminum hydroxide (product)
C0002371|aluminum hydroxide [nutr]
C0002371|aluminium hydroxide (in vac)
C0002371|aluminium hydroxide [antacid]
C0002371|aluminium hydroxide [nutritional use]
C0002371|aluminium hydroxide [nutr]
C0002371|aluminum hydroxide [antacid]
C0002371|aluminum hydroxide [nutritional use]
C0002371|aluminum hydroxide (in vac)
C0002371|product containing aluminium hydroxide (medicinal product)
C0002371|product containing aluminium hydroxide
C0002371|product containing aluminum hydroxide
C0002371|product containing aluminum hydroxide (medicinal product)
C0002371|aluminium hydroxide (substance)
C0002371|aluminio hidróxido
C0002371|aluminum (as hydroxide)
C0002371|aluminum hydroxide [antacid] (product)
C0002371|aluminum hydroxide [antacid] (substance)
C0002371|aluminum hydroxide - chemical (substance)
C0002371|aluminum hydroxide [nutritional use] (product)
C0002371|aluminum hydroxide [nutritional use] (substance)
C0002371|aluminum hydroxide (substance)
C0002371|aluminum hydroxide (in vaccine) (substance)
C0002371|aluminum hydroxide (medication)
C0002372|aluminum hydroxide gel
C0002372|algeldrate
C0002372|aluminium hydroxide gel
C0002372|aluminum hydroxide gel (substance)
C0002372|aluminium hydroxide gel (substance)
C0002403|amantadine
C0002403|amantadina
C0002403|amantadinum
C0002403|product containing amantadine (medicinal product)
C0002403|product containing amantadine
C0002403|amantadine product
C0002403|amantadine (product)
C0002403|amantadine (substance)
C0002404|amantadine sulfate
C0002404|amantadine sulphate
C0002404|amantadine sulfate (substance)
C0002412|ambenonium
C0002412|product containing ambenonium
C0002412|product containing ambenonium (medicinal product)
C0002412|ambenonium product
C0002412|ambenonium (product)
C0002412|ambenonium (substance)
C0002413|ambenonium chloride
C0002413|ambenonium chloride (substance)
C0002413|win 8077
C0002413|ambenonium chloride (medication)
C0002435|amdinocillin
C0002435|product containing amdinocillin
C0002435|product containing mecillinam
C0002435|product containing mecillinam (medicinal product)
C0002435|mecillinam (substance)
C0002435|mecillinam product
C0002435|mecilinamo
C0002435|mecillinamum
C0002435|amdinocillin product
C0002435|amdinocillin (product)
C0002435|amdinocillin (substance)
C0002435|amdinocillin (medication)
C0002475|mitomycin
C0002475|mitomycin-c
C0002475|mito-c
C0002475|mitc
C0002475|mtc
C0002475|mitomycin (medication)
C0002475|product containing mitomycin
C0002475|product containing mitomycin (medicinal product)
C0002475|mitomycin product
C0002475|mitomycin (product)
C0002475|mitomycin (substance)
C0002475|mito
C0002499|amikacin
C0002499|amikacine
C0002499|amikacina
C0002499|amikacinum
C0002499|product containing amikacin (medicinal product)
C0002499|product containing amikacin
C0002499|amikacin - chemical
C0002499|amikacin product
C0002499|amikacin (product)
C0002499|amikacin (substance)
C0002499|amika
C0002499|amikacin - chemical (substance)
C0002501|amikacin sulfate
C0002501|amikacin sulphate
C0002501|amikacin (as sulfate)
C0002501|amikacin sulphate - chemical
C0002501|amikacin sulfate (substance)
C0002501|amikacin sulphate - chemical (substance)
C0002501|amikacin sulfate (medication)
C0002502|amiloride
C0002502|amiloride (medication)
C0002502|amilorida
C0002502|amiloridum
C0002502|amilorid
C0002502|product containing amiloride (medicinal product)
C0002502|product containing amiloride
C0002502|amiloride product
C0002502|amiloride (product)
C0002502|amiloride (substance)
C0002555|aminoglutethimide
C0002555|aminoglutéthimide
C0002555|aminoglutetimida
C0002555|aminoglutethimidum
C0002555|product containing aminoglutethimide (medicinal product)
C0002555|product containing aminoglutethimide
C0002555|agt
C0002555|aminoglutethimide - chemical
C0002555|aminoglutethimide product
C0002555|aminoglutethimide (product)
C0002555|aminoglutethimide (substance)
C0002555|aminoglutethimid
C0002555|aminoglutethimide (medication)
C0002555|aminoglutethimide - chemical (substance)
C0002563|aminolevulinic acid
C0002563|delta-aminolevulinic acid
C0002563|delta aminolaevulinic acid
C0002563|delta-aminolaevulinic acid
C0002563|ala - d-aminolaevulinic acid
C0002563|ala - delta-aminolevulinic acid
C0002563|product containing 5-aminolevulinic acid (medicinal product)
C0002563|product containing 5-aminolevulinic acid
C0002563|5-aminolevulinic acid-containing product
C0002563|ácido 5-aminolevulínico
C0002563|5-aminolevulinic acid (substance)
C0002563|delta aminolevulinic acid (substance)
C0002563|delta-aminolevulinic acid (substance)
C0002563|5-aminolevulinic acid product
C0002563|5-aminolevulinic acid (product)
C0002575|aminophylline
C0002575|product containing aminophylline (medicinal product)
C0002575|product containing aminophylline
C0002575|aminofilina
C0002575|aminophyllinum
C0002575|aminophylline - chemical
C0002575|aminophylline product
C0002575|aminophylline (product)
C0002575|aminophylline (substance)
C0002575|aminophylline (medication)
C0002575|aminophylline - chemical (substance)
C0002598|amiodarone
C0002598|product containing amiodarone (medicinal product)
C0002598|product containing amiodarone
C0002598|amiodarone product
C0002598|amiodarone (product)
C0002598|amiodarone (substance)
C0002598|amiodarona
C0002598|amiodaronum
C0002600|amitriptyline
C0002600|amitriptylin
C0002600|amitriptylinum
C0002600|amitriptilina
C0002600|product containing amitriptyline (medicinal product)
C0002600|product containing amitriptyline
C0002600|amitriptyline (medication)
C0002600|amitriptyline product
C0002600|amitriptyline (product)
C0002600|amitriptyline (substance)
C0002615|ammonium chloride
C0002615|product containing ammonium chloride
C0002615|product containing ammonium chloride (medicinal product)
C0002615|chlorammonic
C0002615|chlorid ammonia
C0002615|ammoniumchlorid
C0002615|ammonium chloride - chemical
C0002615|ammonium chloride (substance)
C0002615|ammonium chloride product
C0002615|ammonium chloride (product)
C0002615|ammonium chloride - chemical (substance)
C0002640|amobarbital
C0002640|product containing amobarbital
C0002640|product containing amobarbital (medicinal product)
C0002640|amobarbitale
C0002640|amobarbital product
C0002640|amobarbital (product)
C0002640|amobarbital (substance)
C0002640|amylobarbitone - chemical
C0002640|amylobarbitone - chemical (substance)
C0002640|amobarbital (medication)
C0002644|amoxapine
C0002644|amoxapin
C0002644|amoxepine
C0002644|amoxapina
C0002644|amoxapinum
C0002644|product containing amoxapine (medicinal product)
C0002644|product containing amoxapine
C0002644|amoxapine - chemical
C0002644|amoxapine product
C0002644|amoxapine (product)
C0002644|amoxapine (substance)
C0002644|amoxapine (medication)
C0002644|amoxapine - chemical (substance)
C0002645|amoxicillin
C0002645|hydroxyampicillin
C0002645|amoxycillin [generic addn]
C0002645|amoxycillin [2]
C0002645|amoxicillin [2]
C0002645|amoxycillin [generic additions]
C0002645|amoxicillin [generic additions]
C0002645|amoxicilina
C0002645|amoxicillinum
C0002645|product containing amoxicillin (medicinal product)
C0002645|product containing amoxicillin
C0002645|(2s,5r,6r)-6-((r)-(-)-2-amino-2-(p-hydroxyphenyl)acetamido)-3,3-dimethyl-7-oxo-4-thia-1-azabicycl(3.2.0)heptane-2-carboxylic acid trihydrate
C0002645|amoxycillin [2] (product)
C0002645|amoxycillin [2] (substance)
C0002645|amoxycillin [generic additions] (product)
C0002645|amoxycillin [generic additions] (substance)
C0002645|amoxicillin (product)
C0002645|amoxicillin product
C0002645|amoxicillin (substance)
C0002645|amox
C0002645|amoxicillin (medication)
C0002658|amphetamine
C0002658|amfetamine
C0002658|speed
C0002658|1-phenylpropan-2-amine (substance)
C0002658|amfetaminum
C0002658|amfetamina
C0002658|product containing amfetamine (medicinal product)
C0002658|product containing amfetamine
C0002658|amphetamine [dup] (substance)
C0002658|amphetamine product
C0002658|amfetamine product
C0002658|amphetamine (product)
C0002658|amfetamine (substance)
C0002658|amphetamine (substance)
C0002658|amphetamine (medication)
C0002679|amphotericin b
C0002679|amphotericin b product
C0002679|amphotericin b (product)
C0002679|amfotericina b
C0002679|amphotéricine b
C0002679|amphotericinum b
C0002679|product containing amphotericin b
C0002679|product containing amphotericin b (medicinal product)
C0002679|amphotericin b (substance)
C0002679|amb
C0002679|amphotericin b (medication)
C0002680|ampicillin
C0002680|ampicilline
C0002680|ampicillinum
C0002680|ampicilina
C0002680|product containing ampicillin (medicinal product)
C0002680|product containing ampicillin
C0002680|ampicillin product
C0002680|ampicillin (product)
C0002680|ampicillin (substance)
C0002680|ampicillin (medication)
C0002697|inamrinone
C0002697|amrinone
C0002697|amrinona
C0002697|amrinonum
C0002697|product containing amrinone
C0002697|product containing amrinone (medicinal product)
C0002697|product containing inamrinone
C0002697|amrinone product
C0002697|amrinone (product)
C0002697|amrinone (substance)
C0002697|imamrinone
C0002697|imamrinone (product)
C0002697|imamrinone (substance)
C0002697|inamrinone product
C0002697|inamrinone (product)
C0002697|inamrinone (substance)
C0002697|inamrinone (medication)
C0002711|amyl nitrite
C0002711|product containing amyl nitrite
C0002711|product containing amyl nitrite (medicinal product)
C0002711|amyl nitrite product
C0002711|amyl nitrite (product)
C0002711|amyl nitrite (substance)
C0002860|androstenedione
C0002860|adione-delta 4-androstenedione
C0002860|androstenedione (substance)
C0002860|androstanedione (substance)
C0003009|angiotensin ii
C0003009|angiotensin ii (medication)
C0003009|product containing angiotensin ii (medicinal product)
C0003009|product containing angiotensin ii
C0003009|angiotensin ii product
C0003009|angiotensin ii (substance)
C0003143|antazoline
C0003143|product containing antazoline (medicinal product)
C0003143|product containing antazoline
C0003143|antazolina
C0003143|antazolinum
C0003143|antazoline product
C0003143|antazoline (product)
C0003143|antazoline (substance)
C0003144|antazoline phosphate
C0003144|antazoline phosphate - chemical
C0003144|antazoline phosphate (product)
C0003144|antazoline phosphate (substance)
C0003144|antazoline phosphate - chemical (substance)
C0003166|anthralin
C0003166|dithranol [generic additions]
C0003166|dithranol (substance)
C0003166|product containing dithranol
C0003166|product containing anthralin
C0003166|product containing dithranol (medicinal product)
C0003166|dithranol product
C0003166|ditranol
C0003166|dithranol [generic additions] (product)
C0003166|dithranol [generic additions] (substance)
C0003166|anthralin product
C0003166|anthralin (product)
C0003166|anthralin (substance)
C0003166|dihydroxyanthrone 010809
C0003166|anthralin preparations (medication)
C0003420|antipyrine
C0003420|fenazon
C0003420|fenazona
C0003420|phenazone (substance)
C0003420|product containing antipyrine
C0003420|product containing phenazone (medicinal product)
C0003420|product containing phenazone
C0003420|phenazone product
C0003420|antipyrine (substance)
C0003420|antipyrine product
C0003420|antipyrine (product)
C0003420|antipyrine (otic) (medication)
C0003596|apomorphine
C0003596|apomorphin
C0003596|product containing apomorphine
C0003596|product containing apomorphine (medicinal product)
C0003596|apomorfina
C0003596|apomorphine product
C0003596|apomorphine (product)
C0003596|apomorphine (substance)
C0003641|aprotinin
C0003641|aprotinin [pancreatitis] [see chapter b]
C0003641|aprotinin [fibrinolytic]
C0003641|aprotinin [pancreatitis]
C0003641|product containing aprotinin
C0003641|product containing aprotinin (medicinal product)
C0003641|aprotinina
C0003641|aprotininum
C0003641|aprotinine
C0003641|aprotinin [pancreatitis] [see chapter b] (product)
C0003641|aprotinin [pancreatitis] [see chapter b] (substance)
C0003641|aprotinin - chemical
C0003641|aprotinin [fibrinolytic] (product)
C0003641|aprotinin [fibrinolytic] (substance)
C0003641|aprotinin product
C0003641|aprotinin (product)
C0003641|aprotinin (substance)
C0003641|aprotinin (bovine)
C0003641|kunitz pancreatic trypsin inhib
C0003641|trypsin inhib kunitz pancreatic
C0003641|basic pancreatic trypsin inhib
C0003641|bovine pancreatic trypsin inhib
C0003641|bovine kunitz pancreatic trypsin inhib
C0003641|aprotinin (medication)
C0003641|aprotinin - chemical (substance)
C0003765|arginine
C0003765|l-arginin
C0003765|arginina
C0003765|l-arginine (substance)
C0003765|arginine (substance)
C0003765|arginine (medication)
C0003818|arsenic
C0003818|as
C0003818|product containing arsenic
C0003818|product containing arsenic (product)
C0003818|product containing arsenic (medicinal product)
C0003818|arsenic (substance)
C0003818|arsenic product
C0003818|arsenic product (product)
C0003830|trihexyphenidyl hydrochloride
C0003830|benzhexol hcl product
C0003830|benzhexol hydrochloride product
C0003830|trihexyphenidyl hcl
C0003830|benzhexol hydrochloride product (product)
C0003830|benzhexol hydrochloride product (substance)
C0003830|trihexyphenidyl hydrochloride (product)
C0003830|trihexyphenidyl hydrochloride (substance)
C0003830|trihexyphenidyl hydrochloride (medication)
C0003968|ascorbic acid
C0003968|vitamin c
C0003968|ascorbic acid [urine ph - no drugs here]
