CUI,STR
C0007546,cefazolin
C0007550,cefmetazole
C0007552,cefoperazone
C0007554,cefotaxime
C0007555,cefotetan
C0007556,cefotiam
C0007557,cefoxitin
C0007558,cefsulodin
C0007559,ceftazidime
C0007560,ceftizoxime
C0007561,ceftriaxone
C0007562,cefuroxime
C0007716,cephalexin
C0007735,cephalothin
C0007737,cephapirin
C0007738,cephradine
C0007955,charcoal
C0008161,chloral hydrate
C0008163,chlorambucil
C0008168,chloramphenicol
C0008174,clorazepate
C0008183,chlorcyclizine
C0008188,chlordiazepoxide
C0008196,chlorhexidine
C0008197,chlorhexidine acetate
C0008199,chlorhexidine hydrochloride
C0008221,chlormethiazole
C0008223,chlormezanone
C0008241,proguanil
C0008269,chloroquine
C0008273,chlorothiazide
C0008275,chlorotrianisene
C0008280,chlorphenesin
C0008281,chlorpheniramine
C0008286,chlorpromazine
C0008287,chlorpropamide
C0008290,chlorprothixene
C0008294,chlorthalidone
C0008296,chlorzoxazone
C0008318,cholecalciferol
C0008377,cholesterol
C0008402,cholestyramine resin
C0008405,choline
C0008466,chondroitin sulfates
C0008574,chromium
C0008777,cilastatin
C0008783,cimetidine
C0008806,cinoxacin
C0008809,ciprofloxacin
C0008838,cisplatin
C0008845,citalopram
C0008846,prilocaine hydrochloride
C0008929,clemastine
C0008947,clindamycin
C0008992,clobetasol
C0008996,clofazimine
C0009002,clofibrate
C0009008,clomiphene
C0009010,clomipramine
C0009011,clonazepam
C0009014,clonidine
C0009025,clopamide
C0009033,clorazepate dipotassium
C0009053,collagenase clostridium histolyticum
C0009073,clotiazepam
C0009074,clotrimazole
C0009077,cloxacillin
C0009079,clozapine
C0009137,coal tar
C0009148,cobalt
C0009170,cocaine
C0009213,cod liver oil
C0009214,codeine
C0009217,codeine phosphate
C0009262,colchicine
C0009279,colestipol
C0009315,colistimethate
C0009975,copper gluconate
C0010137,cortisone
C0010523,cyclacillin
C0010525,cyclandelate
C0010547,cyclizine
C0010583,cyclophosphamide
C0010590,cycloserine
C0010592,cyclosporine
C0010620,cyproheptadine
C0010648,cysteamine
C0010711,cytarabine
C0010927,dacarbazine
C0010934,dactinomycin
C0010961,danazol
C0010976,dantrolene
C0010977,dantrolene sodium
C0010980,dapsone
C0011015,daunorubicin
C0011145,deferoxamine
C0011148,deferoxamine mesylate
C0011185,prasterone
C0011276,demeclocycline
C0011279,nordazepam
C0011685,desipramine
C0011689,deslanoside
C0011701,desmopressin
C0011705,desonide
C0011707,desoximetasone
C0011777,dexamethasone
C0011779,dexamethasone isonicotinate
C0011782,phenylpropanolamine hydrochloride
C0011786,dexfenfluramine
C0011793,dextran 40
C0011795,dextran 70
C0011796,dextran 75
C0011810,dextroamphetamine sulfate
C0011812,dextroamphetamine
C0011816,dextromethorphan
C0011824,dextrothyroxine
C0012010,diazepam
C0012022,diazoxide
C0012030,dibenzepin
C0012050,dibucaine
C0012086,dichlorphenamide
C0012091,diclofenac
C0012093,dicloxacillin
C0012125,dicyclomine
C0012132,zalcitabine
C0012133,didanosine
C0012145,dienestrol
C0012191,diethylcarbamazine
C0012201,diethylpropion
C0012203,diethylstilbestrol
C0012228,diflunisal
C0012258,digitoxin
C0012265,digoxin
C0012271,dihydralazine
C0012288,dihydroergocornine
C0012289,dihydroergocristine
C0012290,dihydroergocryptine
C0012291,dihydroergotamine
C0012294,dihydroergotoxine
C0012306,hydromorphone
C0012319,dihydrotachysterol
C0012322,dihydroxyacetone
C0012341,iodoquinol
C0012373,diltiazem
C0012381,dimenhydrinate
C0012383,dimercaprol
C0012384,succimer
C0012472,dinoprostone
C0012522,diphenhydramine
C0012525,diphenoxylate
C0012547,diphtheria antitoxin
C0012694,cromolyn sodium
C0012695,edetate disodium
C0012702,disopyramide
C0012772,disulfiram
C0012963,dobutamine
C0013030,dopamine
C0013065,dothiepin
C0013084,doxapram
C0013085,doxepin
C0013089,doxorubicin
C0013090,doxycycline
C0013092,doxylamine
C0013136,droperidol
C0013340,dydrogesterone
C0013360,dyphylline
C0013530,echothiophate iodide
C0013547,econazole
C0013615,edrophonium
C0013617,edrophonium chloride
C0013618,edetic acid
C0013974,emetine
C0014025,enalapril
C0014027,enalaprilat
C0014277,enflurane
C0014310,enoxacin
C0014479,ephedrine
C0014563,epinephrine
C0014582,epirubicin
C0014695,ergocalciferol
C0014704,ergonovine
C0014708,"ergoloid mesylates, usp"
C0014710,ergotamine
C0014758,erythrityl tetranitrate
C0014806,erythromycin
C0014809,erythromycin estolate
C0014810,erythromycin ethylsuccinate
C0014813,erythromycin phosphate
C0014892,estazolam
C0014912,estradiol
C0014921,estramustine
C0014922,estramustine phosphate sodium
C0014938,"estrogens, conjugated (usp)"
C0014939,estrogens
C0014942,estrone
C0014962,ethacrynate sodium
C0014963,ethacrynic acid
C0014964,ethambutol
C0014987,ethchlorvynol
C0014994,ethyl ether
C0015011,ethinyl estradiol
C0015020,amifostine
C0015021,ethionamide
C0015042,profenamine
C0015043,ethosuximide
C0015046,ethotoin
C0015058,ethyl chloride
C0015099,ethylestrenol
C0015117,ethynodiol diacetate
C0015120,etidocaine
C0015121,etidronic acid
C0015131,etomidate
C0015133,etoposide
C0015137,etretinate
C0015153,eugenol
C0015491,factor ix
C0015502,factor vii
C0015505,factor viia
C0015506,factor viii
C0015518,factor x
C0015528,factor xiii
C0015620,famotidine
C0015689,omega-3 fatty acids
C0015772,felodipine
C0015821,fenbendazole
C0015824,fendiline
C0015827,fenfluramine
C0015837,fenoprofen
C0015840,fenoterol
C0015846,fentanyl
C0016006,fibrinogen
C0016157,fish oils
C0016225,flavoxate
C0016229,flecainide
C0016267,floxacillin
C0016277,fluconazole
C0016278,flucytosine
C0016280,fludrocortisone
C0016293,flumazenil
C0016294,flumethasone
C0016296,flunitrazepam
C0016298,fluocinolone acetonide
C0016299,fluocinonide
C0016301,fluocortolone
C0016302,fluocortolone caproate
C0016304,fluocortolone pivalate
C0016330,fluorine
C0016343,floxuridine
C0016351,fluorometholone
C0016360,fluorouracil
C0016365,fluoxetine
C0016366,fluoxymesterone
C0016367,flupenthixol
C0016368,fluphenazine
C0016369,fluprednisolone
C0016374,flurandrenolide
C0016375,flurazepam
C0016377,flurbiprofen
C0016383,fluspirilene
C0016384,flutamide
C0016388,riboflavin 5'-phosphate
C0016410,folic acid
C0016564,formaldehyde
C0016610,fosfomycin
C0016855,furazolidone
C0016860,furosemide
C0016967,galantamine
C0016986,gallopamil
C0017066,ganciclovir
C0017245,gemfibrozil
C0017440,gentian violet
C0017449,oxytetracycline hydrochloride
C0017628,glyburide
C0017642,glipizide
C0017687,glucagon
C0017718,glucosamine
C0017720,glucosamine sulfate
C0017725,glucose
C0017734,dextrose monohydrate
C0017797,glutamine
C0017814,glutaral
C0017845,glutethimide
C0017861,glycerin
C0017887,nitroglycerin
C0017890,glycine
C0017970,glycopyrrolate
C0018026,gold
C0018033,aurothioglucose
C0018034,gold sodium thiomalate
C0018062,chorionic gonadotropin
C0018165,gramicidin
C0018242,griseofulvin
C0018305,guaifenesin
C0018312,guanabenz
C0018318,guanethidine
C0018513,halcinonide
C0018546,haloperidol
C0018549,halothane
C0018880,helium
C0018988,hemin
C0019134,heparin
C0019435,hexachlorophene
C0019453,altretamine
C0019588,histamine
C0020196,hyaluronic acid
C0020197,hyaluronidase
C0020223,hydralazine
C0020261,hydrochlorothiazide
C0020264,hydrocodone
C0020268,hydrocortisone
C0020273,hydroflumethiazide
C0020281,hydrogen peroxide
C0020306,hydroquinone
C0020316,hydroxocobalamin
C0020336,hydroxychloroquine
C0020352,hetastarch
C0020388,hydroxyproline
C0020402,hydroxyurea
C0020404,hydroxyzine
C0020406,hygromycin b
C0020600,hypochlorous acid
C0020740,ibuprofen
C0020752,ichthammol
C0020789,idarubicin
C0020811,idoxuridine
C0020823,ifosfamide
C0020852,immunoglobulin g
C0020933,imipenem
C0020934,imipramine
C0021186,indapamide
C0021246,indomethacin
C0021734,interferon alfa-2a
C0021735,interferon alfa-2b
C0021741,interferon gamma-1b
C0021968,iodine
C0021978,clioquinol
C0022028,iopanoic acid
C0022046,ipecac
C0022092,iron-dextran complex
C0022154,isocarboxazid
C0022176,isoetharine
C0022177,isoetharine mesylate
C0022180,isoflurane
C0022181,isoflurophate
C0022209,isoniazid
C0022233,isopropamide iodide
C0022245,isoproterenol
C0022251,isosorbide
C0022252,isosorbide dinitrate
C0022265,isotretinoin
C0022267,isoxsuprine
C0022322,ivermectin
C0022419,josamycin
C0022487,kanamycin
C0022489,kanamycin a
C0022499,kaolin
C0022516,karaya gum
C0022614,ketamine
C0022625,ketoconazole
C0022635,ketoprofen
C0022642,ketotifen
C0022860,labetalol
C0022939,lactobacillus acidophilus
C0022940,lactobacillus casei
C0022957,lactulose
C0023044,propiomazine hydrochloride
C0023413,leucovorin
C0023556,levamisole
C0023570,levodopa
C0023586,levorphanol
C0023610,gonadorelin
C0023660,lidocaine
C0023726,lincomycin
C0023870,lithium
C0023972,lomustine
C0023992,loperamide
C0024002,lorazepam
C0024027,lovastatin
C0024056,loxapine
C0024057,loxapine succinate
C0024337,lysine
C0024339,lysine acetate
C0024340,lysine hydrochloride
C0024349,ethopropazine hydrochloride
C0024452,mafenide
C0024453,mafenide acetate
C0024467,magnesium
C0024472,magnesium chloride
C0024476,magnesium hydroxide
C0024477,magnesium oxide
C0024480,magnesium sulfate
C0024547,malathion
C0024706,manganese
C0024730,mannitol
C0024778,maprotiline
C0024977,mazindol
C0025023,mebendazole
C0025029,mecamylamine
C0025033,mechlorethamine
C0025039,meclizine
C0025041,meclofenamate sodium
C0025051,medazepam
C0025147,medroxyprogesterone
C0025152,mefenamic acid
C0025153,mefloquine
C0025175,megestrol
C0025179,meglumine
C0025219,melatonin
C0025241,melphalan
C0025242,memantine
C0025270,vitamin k3
C0025368,menthol
C0025376,meperidine
C0025381,mephenytoin
C0025382,mephobarbital
C0025384,mepivacaine
C0025386,meprobamate
C0025497,mesoridazine
C0025573,metaproterenol sulfate
C0025575,metaraminol
C0025576,metaraminol bitartrate
C0025598,metformin
C0025605,methadone
C0025611,methamphetamine
C0025624,methantheline
C0025625,methapyrilene
C0025627,methaqualone
C0025629,metharbital
C0025631,methazolamide
C0025638,methenamine
C0025643,methicillin
C0025644,methimazole
C0025659,methocarbamol
C0025677,methotrexate
C0025678,methotrimeprazine
C0025684,methoxsalen
C0025696,methyclothiazide
C0025729,methylcellulose
C0025741,methyldopa
C0025746,methylene blue
C0025760,methylergonovine
C0025810,methylphenidate
C0025815,methylprednisolone
C0025826,methyltestosterone
C0025840,methyprylon
C0025842,methysergide
C0025853,metoclopramide
C0025854,metolazone
C0025859,metoprolol
C0025872,metronidazole
C0025887,mexiletine
C0025893,mezlocillin
C0025912,mianserin
C0025942,miconazole
C0026056,midazolam
C0026078,midodrine
C0026088,mifepristone
C0026156,mineral oil
C0026186,minocycline hydrochloride
C0026187,minocycline
C0026196,minoxidil
C0026202,miocamycin
C0026234,plicamycin
C0026256,mitotane
C0026259,mitoxantrone
C0026289,sotalol hydrochloride
C0026388,molindone
C0026402,molybdenum
C0026549,morphine
C0026651,moxalactam
C0026933,mycophenolic acid
C0027235,ipratropium
C0027302,nadolol
C0027324,nafcillin
C0027348,nalbuphine
C0027353,nalidixic acid
C0027358,naloxone
C0027360,naltrexone
C0027368,nandrolone
C0027373,naphazoline
C0027396,naproxen
C0027444,natamycin
C0027519,tobramycin sulfate
C0027603,neomycin
C0027607,neomycin sulfate
C0027679,neostigmine
C0027680,neostigmine methylsulfate
C0027780,netilmicin
C0027996,niacin
C0028005,nicardipine
C0028017,niclosamide
C0028027,niacinamide
C0028040,nicotine
C0028066,nifedipine
C0028094,nimodipine
C0028095,nimorazole
C0028116,nisoldipine
C0028126,nitrazepam
C0028127,nitrendipine
C0028128,nitric oxide
C0028156,nitrofurantoin
C0028157,nitrofurazone
C0028158,nitrogen
C0028215,nitrous oxide
C0028333,norepinephrine bitartrate
C0028351,norepinephrine
C0028356,norethindrone
C0028360,norethynodrel
C0028365,norfloxacin
C0028369,norgestrienone
C0028403,octopamine
C0028420,nortriptyline
C0028426,noscapine
C0028735,nylidrin
C0028741,nystatin
C0028833,octreotide
C0028902,ofloxacin
C0028906,clove oil
C0028923,oleandomycin
C0028978,omeprazole
C0029112,opium
C0029193,metaproterenol
C0029274,ornidazole
C0029309,orphenadrine
C0029310,orphenadrine citrate
C0029983,oxacillin
C0029994,oxamniquine
C0029995,oxandrolone
C0029997,oxazepam
C0030040,oxprenolol
C0030049,oxycodone
C0030054,oxygen
C0030071,oxymetazoline
C0030072,oxymetholone
C0030073,oxymorphone
C0030092,oxytetracycline
C0030095,oxytocin
C0030125,aminosalicylic acid
C0030304,pancreatin
C0030342,pantothenic acid
C0030350,papaverine
C0030438,paraldehyde
C0030520,parathyroid hormone
C0030576,paromomycin
C0030771,pefloxacin
C0030800,pemoline
C0030812,penbutolol
C0030815,penfluridol
C0030817,penicillamine
C0030827,penicillin g
C0030829,penicillin g benzathine
C0030830,penicillin g procaine
C0030840,penicillin v
C0030858,pentaerythritol tetranitrate
C0030863,pentamidine
C0030864,pentamidine isethionate
C0030873,pentazocine
C0030883,pentobarbital
C0030896,pentostatin
C0030899,pentoxifylline
C0030969,perazine
C0031007,pergolide
C0031008,pergolide mesylate
C0031184,perphenazine
C0031364,phenacetin
C0031379,phenazopyridine
C0031392,phenelzine
C0031393,phenelzine sulfate
C0031408,pheniramine
C0031411,phenmetrazine
C0031412,phenobarbital
C0031441,phenoxybenzamine
C0031444,phenprocoumon
C0031447,phentermine
C0031448,phentolamine
C0031453,phenylalanine
C0031463,phenylbutazone
C0031469,phenylephrine
C0031470,phenylephrine hydrochloride
C0031495,phenylpropanolamine
C0031507,phenytoin
C0031617,lecithin
C0031849,physostigmine
C0031862,vitamin k1
C0031923,pilocarpine
C0031935,pimozide
C0031937,pindolol
C0031954,piperacetazine
C0031955,piperacillin
C0031957,piperazine
C0031962,piperonyl butoxide
C0031965,pipobroman
C0031968,pipothiazine
C0031978,pirenzepine
C0031979,piribedil
C0031990,piroxicam
C0032032,pivampicillin
C0032140,plasminogen
C0032143,alteplase
C0032333,podophyllin
C0032334,podofilox
C0032477,polyethylene glycol 300
C0032478,polyethylene glycol 400
C0032483,polyethylene glycols
C0032535,polymyxin b
C0032613,polythiazide
C0032825,potassium chloride
C0032831,potassium iodide
C0032856,povidone
C0032857,povidone-iodine
C0032896,practolol
C0032910,prazepam
C0032911,praziquantel
C0032912,prazosin
C0032950,prednisolone
C0032952,prednisone
C0033124,prilocaine
C0033126,primaquine
C0033128,primaquine phosphate
C0033148,primidone
C0033209,probenecid
C0033215,probucol
C0033216,procainamide
C0033218,procaine
C0033223,procarbazine
C0033228,fenofibrate
C0033229,prochlorperazine
C0033230,prochlorperazine edisylate
C0033231,prochlorperazine maleate
C0033254,procyclidine
C0033308,progesterone
C0033399,promazine
C0033405,promethazine
C0033429,propafenone
C0033447,propantheline
C0033448,propantheline bromide
C0033459,periciazine
C0033473,propiomazine
C0033487,propofol
C0033488,propolis
C0033493,propoxyphene
C0033495,propoxyphene napsylate
C0033497,propranolol
C0033508,propylhexedrine
C0033511,propylthiouracil
C0033567,epoprostenol
C0033602,protamine sulfate (usp)
C0033603,protamines
C0033743,protriptyline
C0033798,pseudoephedrine
C0033979,psyllium
C0034235,pyrantel
C0034237,pyrantel pamoate
C0034238,pyrantel tartrate
C0034239,pyrazinamide
C0034245,pyrethrins
C0034261,pyridostigmine
C0034262,pyridostigmine bromide
C0034266,pyridoxal phosphate
C0034272,pyridoxine
C0034282,pyrilamine
C0034283,pyrimethamine
C0034392,quercetin
C0034403,quinacrine
C0034410,quinestrol
C0034414,quinidine
C0034415,quinidine sulfate
C0034417,quinine
C0034420,quinine bisulfate
C0034421,quinine hydrochloride
C0034422,quinine sulfate
C0034504,racemethionine
C0034665,ranitidine
C0035167,rescinnamine
C0035179,reserpine
C0035525,ribavirin
C0035527,riboflavin
C0035608,rifampin
C0035609,rifamycins
C0035629,rimantadine
C0035891,roxithromycin
C0036071,salicylamide
C0036075,salicylate
C0036078,sulfasalazine
C0036079,salicylic acid
C0036442,scopolamine
C0036444,scopolamine hydrobromide
C0036516,secobarbital
C0036579,selegiline
C0036581,selenium
C0037129,silver nitrate
C0037134,silver sulfadiazine
C0037138,simethicone
C0037479,amobarbital sodium
C0037487,carboxymethylcellulose sodium
C0037490,cephalothin sodium
C0037494,sodium chloride
C0037496,cloxacillin sodium
C0037507,etidronate disodium
C0037508,sodium fluoride
C0037512,gold sodium thiosulfate
C0037513,heparin sodium
C0037518,sodium hypochlorite
C0037521,sodium iodide
C0037530,sodium morrhuate
C0037531,nafcillin sodium
C0037533,sodium nitroprusside
C0037536,oxacillin sodium
C0037537,sodium oxybate
C0037540,penicillin g sodium
C0037548,riboflavin 5'-phosphate sodium
C0037549,sodium salicylate
C0037556,sodium tetradecyl sulfate
C0037567,sodium valproate
C0037688,sorbitol
C0037707,sotalol
C0037732,soybean oil
C0037982,spironolactone
C0038143,stannous fluoride
C0038418,streptokinase
C0038425,streptomycin
C0038426,streptomycin sulfate
C0038432,streptozocin
C0038633,sucralfate
C0038665,sulbactam
C0038666,sulbenicillin
C0038670,sulfacetamide
C0038675,sulfadiazine
C0038679,sulfadoxine
C0038687,sulfamethizole
C0038689,sulfamethoxazole
C0038702,sulfanilamide
C0038710,sulfapyridine
C0038722,sulfathiazole
C0038742,sulfinpyrazone
C0038745,sulfisoxazole
C0038746,sulfisoxazole diolamine
C0038774,sulfur
C0038792,sulindac
C0039245,tacrine
C0039266,talampicillin
C0039267,talc
C0039286,tamoxifen
C0039468,temazepam
C0039512,teniposide
C0039542,terbutaline
C0039543,terbutaline sulfate
C0039600,testolactone
C0039601,testosterone
C0039607,testosterone propionate
C0039623,tetrabenazine
C0039629,tetracaine
C0039644,tetracycline
C0039663,dronabinol
C0039736,thalidomide
C0039763,theobromine
C0039771,theophylline
C0039832,thiabendazole
C0039840,thiamine
C0039844,thiamine mononitrate
C0039848,thiamine pyrophosphate
C0039855,thiamylal
C0039865,thiethylperazine
C0039867,thimerosal
C0039871,thiotepa
C0039902,thioguanine
C0039925,thiopental
C0039943,thioridazine
C0039955,thiothixene
C0040018,thrombin
C0040096,thymol
C0040123,thyroglobulin
C0040134,thyroid (usp)
C0040165,levothyroxine
C0040193,ticarcillin
C0040207,ticlopidine
C0040233,timolol
C0040263,tinidazole
C0040341,tobramycin
C0040372,tolazamide
C0040373,tolazoline
C0040374,tolbutamide
C0040377,tolmetin
C0040379,tolnaftate
C0040602,tragacanth
C0040610,tramadol
C0040613,tranexamic acid
C0040778,tranylcypromine
C0040779,trapidil
C0040805,trazodone
C0040845,tretinoin
C0040864,triamcinolone
C0040866,triamcinolone acetonide
C0040867,triamcinolone diacetate
C0040869,triamterene
C0040879,triazolam
C0040899,trichlormethiazide
C0040958,triclosan
C0040976,trientine
C0040979,trifluoperazine
C0040987,trifluridine
C0040988,trifluperidol
C0040989,triflupromazine
C0041009,trihexyphenidyl
C0041014,liothyronine
C0041030,metipranolol
C0041031,trimeprazine
C0041038,trimethadione
C0041041,trimethoprim
C0041056,trimipramine
C0041086,trioxsalen
C0041090,tripelennamine
C0041098,triprolidine
C0041165,troleandomycin
C0041175,tromethamine
C0041190,tropicamide
C0041236,trypsin
C0041249,tryptophan
C0041485,tyrosine
C0041536,ubidecarenone
C0041660,undecylenic acid
C0041920,uracil mustard
C0041942,urea
C0041984,uridine
C0042071,urokinase
C0042105,ursodiol
C0042291,valproic acid
C0042313,vancomycin
C0042523,verapamil
C0042646,vidarabine
C0042665,viloxazine
C0042670,vinblastine
C0042671,vinblastine sulfate
C0042679,vincristine
C0042680,vincristine sulfate
C0042839,vitamin a
C0042845,vitamin b12
C0042874,vitamin e
C0042878,vitamin k
C0042971,von willebrand factor
C0043031,warfarin
C0043355,xipamide
C0043443,ketotifen fumarate
C0043474,zidovudine
C0043483,bacitracin zinc
C0043491,zinc oxide
C0043513,zolazepam
C0043572,glucomannan
C0043603,pamidronate
C0043668,doxercalciferol
C0043832,deferiprone
C0044971,hydroxyprogesterone caproate (usp)
C0045010,17-alpha-hydroxyprogesterone
C0045093,gemcitabine
C0046948,amifampridine
C0048038,apraclonidine
C0048044,vigabatrin
C0048318,mequinol
C0048470,argatroban
C0048504,fomepizole
C0048897,sapropterin
C0049065,decitabine
C0049506,mirtazapine
C0050175,adefovir
C0050393,acarbose
C0050403,aceclofenac
C0050408,acemannan
C0050451,acetohydroxamic acid
C0050458,acetophenazine
C0050559,acitretin
C0050940,lansoprazole
C0050962,monobenzone
C0051113,alclometasone dipropionate
C0051150,alfuzosin
C0051156,alginic acid
C0051241,aprobarbital
C0051510,aluminum acetate
C0051511,aluminum chlorohydrate
C0051512,aluminum chloride hexahydrate
C0051515,aluminum magnesium silicate
C0051556,amcinonide
C0051696,amlodipine
C0051721,ammonium molybdate
C0051809,anagrelide
C0051919,anisindione
C0051923,octotropine methylbromide
C0052300,peanut oil
C0052327,arginine aspartate
C0052416,arsenic trioxide
C0052429,artemether
C0052585,sparfloxacin
C0052657,attapulgite
C0052759,azatadine
C0052761,azelaic acid
C0052762,azelastine
C0052772,azidocillin
C0052796,azithromycin
C0052865,bacampicillin
C0052882,bacitracin a
C0052940,balsalazide
C0052944,bambuterol
C0052993,basic aluminum carbonate gel
C0053091,benazepril
C0053154,cloxacillin benzathine
C0053155,penicillin v benzathine
C0053156,benztropine mesylate
C0053229,benzonatate
C0053230,benznidazole
C0053245,benzthiazide
C0053284,benzquinamide
C0053523,betamethasone dipropionate
C0053526,bethanechol
C0053570,bifonazole
C0053663,biperiden lactate
C0053789,bismuth subcarbonate
C0053790,bismuth subgallate
C0053791,bismuth subnitrate
C0053792,bismuth subsalicylate
C0053799,bisoprolol
C0053817,bitolterol
C0053881,pemirolast
C0053882,cefprozil
C0053941,bopindolol
C0054015,nesiritide
C0054040,bretylium
C0054094,bromfenac
C0054120,bromodiphenhydramine
C0054138,bromperidol
C0054201,budesonide
C0054202,budipine
C0054207,buflomedil
C0054234,butalbital
C0054249,butobarbital
C0054259,butoconazole
C0054302,butylparaben
C0054340,acrivastine
C0054409,cadexomer iodine
C0054436,caffeine citrate
C0054452,heparin calcium
C0054480,calcium polycarbophil
C0054635,caramiphen
C0054636,carazolol
C0054668,carbetapentane
C0054672,carbinoxamine
C0054721,carboprost tromethamine
C0054827,carprofen
C0054836,carvedilol
C0054995,cefamandole nafate
C0055003,cefepime
C0055004,cefetamet
C0055007,cefodizime
C0055008,ceforanide
C0055011,cefpodoxime
C0055014,ceftibuten
C0055015,cefuroxime axetil
C0055021,celiprolol
C0055147,cetirizine
C0055337,chloramphenicol palmitate
C0055338,chloramphenicol stearate
C0055339,chloramphenicol succinate
C0055361,chlorhexidine gluconate
C0055373,clomethiazole edisylate
C0055389,acetylcholine chloride
C0055443,chloroprocaine
C0055447,chloroquine phosphate
C0055461,chloroxine
C0055467,chlorphenesin carbamate
C0055568,cholic acid
C0055573,choline salicylate
C0055578,oxtriphylline
C0055711,ciclopirox
C0055723,cilazapril
C0055729,cilostazol
C0055819,citric acid
C0055856,clarithromycin
C0055860,clavulanic acid
C0055877,clidinium
C0055880,clindamycin palmitate
C0055881,clindamycin phosphate
C0055891,clobazam
C0055895,clobetasol propionate
C0055899,clocortolone
C0055900,clocortolone pivalate
C0055923,clomocycline
C0055930,cloperastine
C0055936,cloprednol
C0056057,cocoa butter
C0056096,colchiceine
C0056387,cortisol succinate
C0056391,cortisone acetate
C0056519,crotamiton
C0056593,cupric chloride
C0056598,cupric oxide
C0056732,cyclobenzaprine
C0056831,cyclothiazide
C0057143,dapiprazole
C0057144,daptomycin
C0057257,defibrotide
